name, address,number,Availability,BGroup
Armed Forces Transfusion Centre Blood Bank,"Delhi Cantonment, Area Sadar Bazar, Army Public School",011 23336685,YES,B-
Fortis Flt. Lt. Rajan Dhall Hospital Blood Bank,"Fortis Flt. Lt. Rajan Dhall Hospital (A unit of Flt. Lt. Ranjan Dhall Charitable Trust Regd.), Sector-B, Pocket-1, Aruna Asaf Ali Marg, Vasant Kunj",011 42776222,YES,B-
Institute of Liver and Biliary Sciences Blood Bank,"Institute of Liver and Biliary Sciences, D-1, Vasant Kunj",011 46300000 ,YES,B-
Mata Chanan Devi Hospital Blood Bank,"Mata Chanan Devi Hospital, C-1 Janakpuri New Delhi ","011 45582193, 011 45582194",YES,B-
Bhagat Chandra Hospital Blood Bank,"RZF-1/1, Mahavir  Enclave, Palam",011 45254525,YES,B-
Indian Spinal Injuries Centre Blood Bank,"Indian Spinal Injuries Centre, C-8, Vasant Kunj",011 42255387,YES,B-
Bensups Hospital Blood Bank,"Bansups Avenue, Sector 12, Dwarka",011 45017615,YES,B-
Blood Bank Organisation,"11/6-B, Shanti Chamber, Opposite Telephone Exchange, Pusa Road",011 25721870,YES,B-
E. S. I. Hospital Blood Bank,"E S I Hospital, Basai  Darapur, Ring Road","011 25970808, 011 25100664",YES,B-
Maharaja Agrasen Hospital Blood Bank,"Maharaja Agrasen Hospital, West Punjabi Bagh",011 40777777 (Exte. 6700),YES,B-
Sri Balaji Action Medical Institute Blood Bank,"Sri Balaji Action Medical Institute, FC-34, A-4, Paschim Vihar","011 42888888, 011 45666666",YES,B-
Dr. B. L. Kapoor Memorial Hospital Blood Bank,"B. L. K. Memorial Hospital,  Pusa Road","011 30653095, 011 30653926",YES,B-
Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC) Blood Bank,"Kalra Hospital SRNCNC, A-4, Kirti Nagar",011 45005700,YES,B-
"R.B.T.C (wz), Deen Dayal Upadhyay Hospital","Deen Dayal Upadhyay Hospital, Hari Nagar, Near Clock Tower","011 25129345, 011 25494403, 011 25494405",YES,B-
Jaipur Golden Hospital Blood Bank,"Jaipur Golden Hospital, 2, Industrial Area,  Rohini, Sector-III ","011 27907248, 011 27907238, 011 27907000",YES,B-
Jan Jagriti Blood Bank,"Mission Jan Jagriti, Blood Bank, C/o. Jeevan Anmol Hospital Mayur Vihar Phase I ",,YES,B-
District Hospital Blood Bank ,"District Hospital, Pedem, Mapusa, Goa ",0832 2253387,NO,B-
Goa Medical College Blood Bank,"Goa Medical College, Bambolim, Tiswadi, Goa ",0832 2458724,YES,B-
Hospicio Hospital Blood Bank,"Hospicio Hospital, Margao, Salcete, Goa ","0832 2703801, 0832 2705664",NO,B-
Apollo Victor Hospital Blood Bank,"Apollo Victor Hospital, Malbhat, Margao",0832 2728888,,B-
SMRC&#39;s V. M. Salgaocar Hospital Blood Bank,"SMRC&#39;s V.M.Salgaocar Hospital, Chicalim, off Airport Road, Vasco-da-Gama

","0832 6691919, 0832 2540218",NO,B-
V. S. Hospital Blood Bank,"C/o. Sheth, Vadilal Sarabhai (V.S.) Hospital, Ellisbridge, Ahmedabad",079 26577621  (Extn.341),YES,B-
Smt. Shardaben Hospital Blood Bank,"Smt. Laxmiben Chimanlal Lalbhai Blood Bank, C/o. The Superintendent, Smt. Shardaben Chimanlal Municipal General Hospital, Saraspur, Ahmedabad.","079 22164261, 079 22924264",NO,B-
L. G. Hospital Blood Bank,"Sheth L.G. General Hospital and Blood Bank, Maninagar, 
Ahmedabad",079 25461380 / 81 / 82 / 83 / 84 (Extn. 219) ,YES,B-
Civil Hospital Blood Bank,"Blood Bank, Department of IHBT, C/o.The Civil Hospital, Asarwa, Ahmedabad","079 22683949/50/51/52/53/54/55, 07922683721-31 (Extn.1419)",YES,B-
General Hospital Blood Bank Sola,"Blood Bank, Civil Hospital, Sarkhej Highway, Near Gujarat High Court,  Sola, Ahmedabad","079 27664349, 079 27432584, 079 27474359 (Exte.210)         ",NO,B-
Indian Red Cross Society Blood Bank,"Indian Red Cross Society, J. L. Thakore Red Cross Bhavan, 
18-Gujarat Brahmkshatriya Society, Behind Suvidha Market,
Paldi, Ahmedabad","079 26651833, 079 26650855",YES,B-
The Gujarat Cancer & Research Institute Blood Bank,"The Gujarat Cancer & Research Institute, M.P. Shah Cancer Hospital, Civil Hospital Campus, Asarwa, Ahmedabad","079 22681451, 079 22688061, 079 22688062, 079 2268 8000 ",YES,B-
Institute of Kidney Disease and Research Centre ,"Blood Bank, The Institute of Kidney Disease and Research Centre, Civil Hospital Compound, Asarwa, Ahmedabad","079 22687164, 079 22687165, 079 22687000, 079 22685609",YES,B-
Help Voluntary Blood Bank  ,"Help Voluntary Blood Bank (Green Cross Voluntary Blood Bank Pathology and RIA Laboratory) 6 and 7, Kotyark Complex, Opposite to L.G. Hospital, Maninagar, Ahmedabad ",079 65136744,YES,B-
GUJARAT CANCER MEDICAL COLLEGE,"Blood Bank, Gujarat Cancer Society Medical College Hospital and Research Centre, 
Opp. D.R.M. office, Swadesi Mill compound,
Near Chamunda Bridge, 
Ahmedabad","079 6648138,079 66048000",YES,B-
General Hospital Blood Bank ,"Model Hospital Blood Bank, (ESIS), Blood Bank, Bapunagar, Ahmedabad","079 22745770, 079 22743935",NO,B-
Military Hospital Blood Bank,"Military Hospital Blood Bank, 24, M. H. Complex, Ahmedabad",,NO,B-
Dr. Jivraj Mehta  Smarak Health Foundation Blood Bank,"Blood Bank, Dr. Jivraj Mehta  Smarak Health Foundation, Bakeri Medical Research Centre, Arogya Dham, Dr. Jivraj Mehta Marg, Ahmedabad.","079 22687164, 079 22687143",NO,B-
Prathama Blood Centre,"Prathama Blood Centre, B/H Jivraj Mehta Hospital, Near Lavanya Society, Dr. C.V. Raman Marg, Vasna, Ahmedabad",079 26600101,YES,B-
White Cross Blood Bank ,"White Cross Blood Bank (Vol.), 2nd Floor, Kandhari Building, 
Opposite to S.T. Workshop, Naroda Road Patia, Naroda , Ahmedabad",079 22815227,NO,B-
Adarsh Pathology Laboratory and Blood Bank,"Adarsh Pathology Laboratory and Blood Bank, 1st Floor, Samjuba Hospital, Bapunagar, Ahmedabad","079 22749146, 079 22746672",NO,B-
Gujarat Blood Bank Paldi,"Gujarat Blood Bank (Voluntary), Pathology Laboratory, 101, Span Trade Centre, Opp. Kochrab Ashram, Near Paldi Char Rasta, Paldi, Ahmedabad",079 27413719,NO,B-
Karnavati Blood Bank and Pathology Lab,"Karnavati Blood Bank and Pathology Lab, 36, Subhlaxmi Complex, Naranpura, Ahmedabad", 079 27415150,YES,B-
Cross World Voluntary Blood Bank ,"Cross World Voluntary Blood Bank, Chandraprabhu Complex,
Sardar Patel Cross Road, Ahmedabad","079 26568004, 079 26401959",NO,B-
Maha Gujarat Blood Bank,"Maha Gujarat Blood Bank (Voluntary) and Pathology Lab, 21, Parth  Comp., Near Maninagar Fire Station, Maninagar, Ahmedabad","079 25451331, 079 25461641",YES,B-
Supratech Voluntary Blood Bank,"Supratech Voluntary Blood Bank, Mild Stone Building, 1st Floor, Near Drive-in Cinema, Thaltej, Ahmedabad","079 40058958, 079 40054400, 079 40057317",NO,B-
Sterling Hospital,"Blood Bank, Sterling Hospitals, Drive in Road, Near Gurukul, Memnagar Road, Ahmedabad",7940011620,YES,B-
Ami Pathology Laboratory and Blood Bank,"Ami Pathology Laboratory and Blood Bank, 14-15 Baronet Tower (Complex), Tollnaka, Highway , Ramnagar, Sabarmati, Ahmedabad",079 27501202,NO,B-
Gujarat Blood Bank Naranpura,"Gujarat Blood Bank (Voluntary) and Pathology Laboratory,  
1-2, Subhlaxmi Complex, Naranpura, Ahmedabad",079 27413719,NO,B-
Indian Red Cross Society Blood Bank,"Mahatma Muldas Red Cross Bhavan, Civil Hospital Campus","02792 223034, 02792 232854",NO,B-
Indian Red Cross Society Blood Bank,"Blood Bank, Indian Red Cross Society, Sardar Bhavan, Opposite to Municipal Building, Sardar Ganj Road, Anand","02692 243406, 02692 268822",NO,B-
Indu Voluntary Blood Bank,"Indu Voluntary Blood Bank Managed by Charotar Health Research Foundation Trust, Jashganga Complex, Station Road, Anand",02692 259596,YES,B-
Ghanshyam Pathlology Laboratory and Blood Bank,"Ghanshyam Pathlology Laboratory and Blood Bank, Krishna Road,  B/h . Mayfair Hotel, Anand ","02692 252744,   02692 252667",NO,B-
Lions Club Khambat Blood Bank,"Blood Bank, The Secretary, Lions Club (Society), Lions Medical Centre, Pith Bazar, Khambhat, Anand District",02698 220516,YES,B-
A.D. Gorwala Karamsad Blood Bank  ,"A.D.Gorwala Blood Bank, Pramukhswami Medical College and Shree krishna Hospital, Gokulnagar, Karamsad, Anand","02692 228323, 02692 228324",YES,B-
Indian Red Cross Society Blood Bank Petlad,"Blood Bank, Indian Red Cross Society, Opposite to Ranchodji Temple, Petlad, Anand",02697 222251,NO,B-
Gandhi Lincon Hospital Blood Bank,"Bhansali Trust sanchalit Voluntary Blood Bank, Gandhi Lincon Hospital, Nr.Municipal Complex, Nr. Sardar-Baug, Deesa, 
Banaskantha",02744 220172,NO,B-
"M. U. Pethani Voluntary Blood Bank, Palanpur","Bhagwan Mahavir Seva Samiti Sanchalit Mafatben Uttamlal Pethani Voluntary Blood Bank, Baradpura, Near Delhi Gate,                           Palanpur, Banaskantha","02742 246914, 02742 245899",NO,B-
General Hospital Blood Bank Palanpur ,"Blood Bank, General Hospital, Palanpur, Banaskantha",02742 253083,NO,B-
Gayatri Pathology Laboratory and Voluntary Blood Bank,"Gayatri Pathology Laboratory and Voluntary Blood Bank, Kirti Chamber, Kirti Stambh Road, Palanpur, Banaskantha",02742 253475,NO,B-
Bhoomi Voluntary Blood Bank Palanpur,"Bhoomi Voluntary Blood Bank, Paulamo House, Near Bridge, 
Palanpur, Banaskantha","02742 260632, 02742 260633, 02742 256475",YES,B-
Vikas Voluntary Blood Bank,"Vikas Voluntary Blood Bank, Computerized Pathology Laboratory, Kirti Harsh Complex, Nr. Gayatri Mandir, Highway Road, Deesa, Banaskantha",02744 230342,NO,B-
Dharti Voluntary Blood Bank,"Dharti Voluntary Blood Bank, 1st Floor, Super Market S.T. Road, Dhanera, Banaskantha",02748 222443,NO,B-
Saraswati Voluntary Blood Bank,"Saraswati Voluntary Blood Bank. Saraswati Hospital, Opposite to Petrol pump, Dhanera, Banaskantha",02748 222011,NO,B-
Gayatri Voluntary Blood Bank,"Gayatri Voluntary Blood Bank, Kiran Complex,Highway Road, 
Deesa, Banaskantha",02744 230342,NO,B-
Adarsh Voluntary Blood Bank ,"Adrash Blood Bank (Shree Sharswati Trust - Tharad), Adarsh Complex,  2nd Floor, Ambika Nagar Society-1, Highway Road, 
Tharad, Banaskantha",,NO,B-
Indian Red Cross Society Blood Bank,"Blood Bank, Indian Red Cross Society, Sevashram Hospital Compound, Bharuch","02642 244281, 02642 243603",NO,B-
Kumarpal Gandhi Blood Bank,"&#34;B&#34; Block,1st Floor, Near Palika Shopping Centre, Near Gujarat Gas Circle, Ankleshvar",02646 244530,NO,B-
Sir T. General Hospital Blood Bank,"Blood Bank, Sir T. General Hospital, Dr. H. L. Vaidhya Marg, 
Kalanala, Bhavnagar","0278 2520091, 0278 2423250",YES,B-
Bhavnagar Blood Bank,"Bhavnagar Blood Bank, Ofice No. 1,2,3 - Plot No. 1686, B-Wing, 1st Floor, Municipal Commercial Complex, Sardar Nagar Circle, Sardarnagar, Bhavnagar",0278 2561526,YES,B-
Bambhaniya Voluntary Blood Bank,"Bambhaniya Voluntary Blood Bank Trade Centre, Kalanain Circle, Bhavnagar","0278 2224744, 0278 3004744",YES,B-
Navkar Charitable Trust Mahuva Blood Bank,"Blood Bank Navkar Charitable Trust, Opposite to Nagrik Bank, Vasi Talav, Mahuva, Bhavnagar",02844 224464,YES,B-
Smt. Sonalien A. Shah Blood Bank,"Blood Bank, Omkar Paramedical Charitable Trust Organization, Smt. Sonaliben A. Shah Blood Bank, 2nd Floor, Patel Chamber,Paliad Road, Botad, Bhavnagar","0278 255361, 0278 256099",NO,B-
Tulsi Pathology Laboratory and Blood Bank,"Tulsi Pathology Laboratory and Blood Bank, Bhairav Para, 
Palitana, Bhavnagar",02848 252707,NO,B-
 Indian Red Cross Society Blood Bank ,"Sanchalit Dr. Mohsinbai S. Lenwala Voluntary Blood Bank, Dr.Harilal C.Seth, Red Cross Bhavan, Police Line road, Dahod",02673 224422/23,NO,B-
Samarth Raktdan Kendra                                                             ,"Samarth Raktdan Kendra, Gausala chowk, Daulatgunj Bazar, Dahod","02673 223139, 02673 242514",NO,B-
Kiran Voluntary Blood Bank                                                                       ,"Kiran Voluntary Blood Bank, Near Hotel Vrundavan,
Station Road, Dahod",02673 246212,NO,B-
General Hospital Blood Bank Ahwa,"Blood Bank, General Hospital, Ahwa, Dang",02631 220205,NO,B-
"Indian Red Cross Society (IRCS), Kalol, Gandhinagar","Blood Bank, Indian Red Cross Society, Sheth C.S. Municipal Hospital, Kalol, Gandhinagar",02764 227836  ,NO,B-
"GMERS MEDICL COLLEGE ATTACHED GENERAL HOSPITAL, GANDHINAGAR","Blood Bank, H-1 Block, First Floor, Civil Hospital Campus, Opposite to Pathik Ashram, Sector-12, Gandhinagar ","079 23221931, 079 23221932 Ext. 138",NO,B-
Shraddhadeep Pathology Lab and Blood Bank,"Shraddhadeep Pathology Lab and Blood Bank, 
Shiv Complex , Plot no. 329, 1st Floor, Sector-16, Gandhinagar",079 23222474,NO,B-
 Apollo Hospital International Limited Blood Bank,"Blood Bank, Apollo Hospital International Limited, Block No. 1/A, GIDC estate, BHAT, Gandhinagar",079 66701825,YES,B-
Indian Medical Association (IMA) Blood Bank,"Blood Bank, Indian Medical Association (IMA), Manasa Charitable Trust sanchalit C.M.K. and P.N.N. Voluntary Blood Bank, 1st floor, Vijay Complex,  Mansa-Gandhinagar Highway, Manasa-382845, Gandhinagar",02763 270085,NO,B-
G.G.Hospital Blood Bank,"Blood Bank, The  M.P.Shah  Medical College and Guru Govindsinh Hospital, Jamnagar",0288 2661052,YES,B-
Jamnagar Voluntary Blood Bank,"Jamnagar Voluntary Blood Bank, 1st Floor, Shakuntla Apart.
Hawai Chowk, Jamnagar","0288 2673339, 0288 2541070",NO,B-
General Hospital Blood Bank,"Blood Bank, General Hospital, Jamkhambhalia, Jamnagar",02833 234704,NO,B-
Tata Chemical Limited Blood Bank Mithapur,"Blood Bank, Tata Chemical Limited, Okhamandal, Mithapur, 
Jamnagar",9227887029,NO,B-
General Hospital Blood Bank Junagadh,"Blood Bank, General Hospital, Azad Chowk, Mahatma Gandhi Road, Junagadh","0285 2651436, 0285 2620652",NO,B-
Divyajyoti Charitable Voulantary Blood Bank,"Divyajyoti Charitable Voulantary Blood Bank, Varsing Pur Road, B/H Jalaramvadi, Una, Junagadh","02875 252410, 02875 224236",NO,B-
Shri Jivanprakash Foundation Voluntary Blood Bank,"Shri Jivanprakash Foundation Voluntary Blood Bank, Vikram Commercial Complex, Sardar Baug Road, Junagadh","0285 2630672, 0285 2631672",YES,B-
"Navjeevan Blood Bank and Clinical Laboratory,  Veraval","Navjeevan Blood Bank and Clinical Laboratory, Lilashah Shopping Centre, First Floor, Nr. Bus Station, Veraval, 
Junagadh",02876 221415 ,NO,B-
Navdeep Blood Bank  ,"Navdeep Blood Bank, Sankalp Complex, First Floor, 
S.T. Road,opp Dr. Chikkhalia Hospital, Junagadh",0285 2631127,NO,B-
"Sardar Patel voulantary Blood Bank, Keshod","Sardar patel voulantary Blood Bank, 1st Floor Sheetal Building, Ramnagar station road, Keshod, Junagadh ",02871 233353,NO,B-
"G.K. General Hospital Blood Bank, Bhuj","Blood Bank, G.K. General Hospital, Bhuj, Kutch",02832 250150,NO,B-
Rajabhai Patel Blood Bank (IMA),"Indian Medical Association Gandhidham Trust (Reg.), 
Rajabhai Patel Blood Bank, Gandhidham Trust, Near Gurukul Road, Gandhidham, Kutch","02836 257366,  02836 257323, 02836 257333",YES,B-
Mayur Voluntary Blood Bank   Mandvi,"Mayur Voluntary Blood Bank & Pathology Laboratory, 
Azad Chowk, Mandvi, Kutch",02832 231324,NO,B-
Jivan Jyot Blood Bank  ,"Jivanjyot Blood Bank, 63, A/B, Vijyanagar, New Hospital Road, Bhuj, Kutch
",02832 222812,YES,B-
"Matrushri Meghbai Pramji Jetha Hospital and Research Centre, Bhuj ","Blood Bank, Matrushri Meghbhai Premaji Jetha Hospital and Research Centre, Sardar Patel Vidhya Sankul, Bhuj - Mundra Road, Kutch.","02832 231133, 02832 231144",NO,B-
Indian Red Cross Society Blood Bank ,"Indian Red Cross Society managed, C.R. Parikh Blood Bank, Indian Red Cross Society Building, Railway Station Road, 
Kapadwanj, Kheda",02691 263255 ,NO,B-
Indian Red Cross Society Blood Bank Nadiad,"Blood Bank, Indian Red Cross Society, Shri H.V.Desai Blood Bank, Red Cross Building, Santram Road, Nadiad, Kheda",0268 2566944,NO,B-
Muljibhai Patel Urological Hospital Blood Bank,"Blood Bank, Muljibhai Patel Urological Hospital, Dr. V.V. Desai Marg, Nadiad, Kheda","0268 2520323, 0268 2520325",,B-
Gujarat Methodist Church Cardiac Care and Research Society Blood Bank,"Blood Bank, Gujarat Methodist Church Centre Care and Research Society, Mission Road, Nadiad, Kheda","0268 2555711, 0268 2555723",NO,B-
General Hospital Blood Bank Mehsana,"Blood Bank, General Hospital, Near Bus Stand, Rajmahal Road, Mehsana","02762 297301, 02762 221475 ",NO,B-
Mehsana Jaycees Charitable Trust Blood Bank,"Mehsana Jaycees Charitable Trust Sanchalit Sarvodaya Commercial Co.op Voluntary Blood Bank, Pinky Super Bazar, Dairy Road, Mehsana","02762 251252, 02762 243634 ",YES,B-
"Sardar Seva Trust, Unjha Nagrik Sahkari Voluntary Blood Bank","Sardar Seva Trust Sanchalit Unjha Nagrik Sahkari Bank Ltd., Voluntary Blood Bank, 1st Floor Poonam Complex, Unjha
Mehsana",02767 248755,NO,B-
Visnagar Voluntary Blood Bank,"Jivan Jyot Charitable Trust, Sanchalit Visnagar Voluntary Blood Bank, Station Road, Visnagar, Mehsana",02765 220903,NO,B-
Indian Red Cross Society Blood Bank Navsari,"Blood Bank, Indian Red Cross Society, B.K.Shah Red Cross Bhavan, Station Road, Navsari","02637 257452, 02673 253172",YES,B-
Lions Medical Trust Blood Bank Chikhali,"Blood Bank, Lions Medical Research and Educational Charitable Trust Blood Bank, Opposite to Referral Hospital, 
Chikhali, Navsari",02634 234311,NO,B-
N. M. Patel Blood Bank Bilimora,"Blood Bank, Lions Club Billimora Charitable Foundation Sponsored by N.M. Patel Blood Bank, Shroff Complex, 
Nr. Dr. Gupta Hospital, Bilimora, Navsari",02634 285913,NO,B-
Indian red Cross Society Blood Bank Godhara,"Blood Bank, Indian red Cross Society, Civil Lines, Godhra, 
Panchmahal",02672 252830,YES,B-
"General Hospital Blood Bank Godhra, ","Blood Bank, General Hospital, Godhra, Panchmahal",02672 243192,NO,B-
Raktdan Kendra Voluntary Blood Bank Godhra ,"Raktdan Kendra Voluntary Blood Bank, Modi Ni Wadi No. 3, Near Nehru Garden, Godhra, Panchmahal","02672 650004, 02672 242153",YES,B-
Seventilal Kantilal Blood Bank,"The Rotary Club of Patan Charitable Trust Sanchlit Seventilal Kantilal Blood Bank, &#39;Rotary Bhavan&#39;, Khetarvari, Patan","02766 231477, 02766 233496",YES,B-
GMERS Medical College and Hospital Blood Bank Dharpur ,"Blood Bank, GMERS Medical College, Dharpur, Patan ",02766 233311                                     ,NO,B-
"Bahansali Trust Raktdan Kendra, Radhanpur ","Bahansali Trust Raktdan Kendra, Bahansali Trust Hospital, 
Highway, Radhanpur, Patan","02746 277343, 02746 277249",NO,B-
General Hospital Blood Bank Siddhpur,"Blood Bank, General Hospital, Siddhapur, Patan",02767 223086,NO,B-
General Hospital Blood Bank Porbandar,"Blood Bank, General Hospital, Porbandar",0286 2242910,NO,B-
Asha Children Hospital and Blood Bank,"Asha Children Hospital and Blood Bank, Near Vasi Talav,
Porbandar",0286 2210522,NO,B-
Shri Ram Blood Bank Porbandar,"Shri Ram Blood Bank, Star Compound, M.G. Road, 
Porbandar",0286 2240092,NO,B-
Astha Voluntary Blood Bank Gondal,"Astha Voluntary Blood Bank, Jetpur Road, Opposite to
Hava Mahel, Near G.F.D.C. Gate, Gondal, Rajkot",02825 220828,NO,B-
P.D.U. Medical College Blood Bank,"Blood Bank, P.D.U. Medical College and General Hospital,
R.Nc.102, Jamnagar Road, Rajkot","0281 2450385, 0281 2458337, 0281 2458338, 0281 2458339",YES,B-
Rajkot Voluntary Blood Bank and Research Centre,"Rajkot Voluntary Blood Bank and Research Centre, 
Pitroda House, Malaviya Road, Rajkot",0281 2234242 ,YES,B-
Red Cross Blood Bank Rajkot,"Red Cross Building, 1st Floor, Suchak Road, Near Kundaliya College, Rajkot","0281 2466260, 08866871717",YES,B-
 Saurastra Voluntary Blood Bank Rajkot,"Kathiyawad Medical Education Trust sanchalit Saurastra Voluntary Blood Bank and Research Centre, Shashikunj commercial complex, 621, Mangal Park, Nirmalaconvent Road, Near Madhi Chowk, Rajkot",0281 2450301,YES,B-
General Hospital Blood Bank Morbi,"Blood Bank, General Hospital, Morbi, Rajkot","02822 230538, 02822 230203",NO,B-
Nationality Development Foundation Blood Bank Rajkot,"Blood Bank, Nationality Development Foundation,
Smt. S.C.Patel (Field Marshal Blood Banks), Medicare, 3rd Floor, Vidyanagar Main Road, Rajkot","0281 2480043, 0281 2481717",YES,B-
"Nathani Voluntary Blood Bank,  Rajkot ","Nathani Voluntary Blood Bank and Blood Tranfusion. 
11, Tejash Building,20/22, New Janpath Plot, Rajkot ","0281 2480659, 0281 6522111",YES,B-
Shiv Voluntary Blood Bank Morbi,"Shiv Voluntary Blood Bank, 2nd Floor, Pawan Complex, Sanala Road, Near Sagar Hospital, Morbi, Rajkot",02822 292577                                                    ,NO,B-
Jetpur Medical Foundation Trust Blood Bank Jetpur,"Blood Bank, Jetpur Medical Foundation Trust, 2nd Floor, opp. Union Bank of India, Kanakiya Plot, Jetpur, Rajkot",02827 226123,NO,B-
Jagruti Charitable Trust Blood Bank Dhoraji,"Jagruti Charitable Trust Blood Bank, Azad Chowk, Three Gate, Dhoraji, Rajkot",02824 222485,NO,B-
GMERS Medical College Attach Sir Pratap General Hospital Blood Bank,"Blood Bank, GMERS Medical College Attach Sir Pratap General Hospital, Himmatnagar, Sabarkantha","02772 246618, 02772 241551",NO,B-
Indian Red Cross Society Blood Bank Himmatnagar,"Blood Bank., Indian Red Cross Society Sabarkantha District Branch, Sheth Shri Jamanadas Madhavji Tanna , Red Cross Bhavan, Nr. G.P.O., State Highway, 
Himmatnagar, Sabarkantha","02772 240789, 02772 245110",NO,B-
Patel Voluntary Blood Bank Modasa,"Patel Voluntary Blood Bank, Dr. Yogesh Upadhyay&#39;s Hospital, Siddhi Vinayak Comlpex, Shamlaji Road, Modasa, 
Sabarkantha",,NO,B-
Trimurti Blood Bank,"Trimurti Blood Bank, B/H Trimurti Hospital, B/H Bus stop, Srinagar, Idar - 383430, Sabarkantha",02778 251763,NO,B-
Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab Modasa,"Late N.H. Ramani Memorial Voluntary Blood Bank and Navchetan Pathology Lab, 2nd floor, Upasana Complex, Nr. S.T. Stand, Modasa, Sabarkantha.","02774 247890, 02774 243690",NO,B-
New Civil Hospital Blood Bank,"Blood Bank, The New Civil Hospital, Outside Majura Gate, 
Surat","0261 2230909, 0261 2244456 (ext 312), 0261 2244457, 0261 2244458, 0261 2244459, 0261 2208312",YES,B-
Surat Raktdan Kendra,"Surat Raktdan Kendra, Udhna Khatodara Health Centre, 
Near Chosath Joganiyo Mataji Mandir, Udhna, Magdalla Road, Surat.","0261 2630114, 0261 2635533",YES,B-
"Lok Samarpan Raktadan Kendra, Surat","Lok Samarpan Raktadan Kendra Blood Bank, 
15, Miranagar, Opp.Saurastra Bhavan,
Mini Bazar, Varachha Road, 
Surat","0261 2553020, 0261 2547575",YES,B-
Shree Mahavir Health And Medical Relief Society Blood Bank,"Blood Bank, Shree Mahavir Health And Medical Relief Society, Shri B.D.Mehta  Mahavir Heart Institute, Shree Mahavir Health Campus,  Athwagate, Ring road, Surat","0261 2471770, 0261 2462116",YES,B-
Shree Sardar Smarak Hospital Blood Bank,"Blood Bank, Shree Sardar Smarak Hospital Blood Bank, 
Station Road, Sardar Baug, Bardoli, Surat","02622 220089, 02622 220507 ",YES,B-
SMIMER Hospital Blood Bank,"Blood Bank, Surat Municipal Institute for Medical Education and Research, (SMIMER), Umarwada, Surat","0261 2368040, 0261 2368041, 0261 2368042, 0261 2368043, 0261 2368044 (Extn.1728,1729)",YES,B-
 Surat Health Care Foundation Blood Bank,"Blood Bank, Aminaben Gangat and Ayeshaben Patel Blood Bank, Surat Health Care Foundation, C/o. Lokhat Hospital, Nr. Rampura Petrol Pump, Rampura, Surat","0261 2401362, 0261 2400094",YES,B-
General Hospital Surendranagar Blood Bank,"Blood Bank, General Hospital, Surendranagar",02752 222052 ,NO,B-
C. U. Shah Medical College and Hospital Blood Bank,"Blood Bank, C. U. Shah Medical College and General Hospital, Dudhrej Road, Surerndranagar","02752 287041, 02752 287000, 02752 287001, 02752 287002",YES,B-
Sharddha Voluntary Blood Bank and Pathology Laboratory Dhangadhra,"Shraddha Vol. Blood Bank and Pathology Laboratory, Halani Chamber, 1st floor, Zala Road, Dhangadhra, Surendranagar",02754 280301,YES,B-
Laxmiben Kushalbhai Patel Blood Bank ,"Laxmiben Kushalbhai Patel Blood Bank, 1st Floor, Janak Smarak  Hospital, Kanpura, Vyara, Tapi",02626 220251,YES,B-
Maliba Raktdan Kendra (IRCS),"Blood Bank, Indian Red Cross Society, Maliba Raktadan Kendra, Bhikhiba Redcross Bhavan, Vilasini K. Desai aarogya Sankul, Near Vanchetana, Near Kakrapar, Vyara, Tapi",02626 290181,NO,B-
S. S. G. Hospital Vadodara,"Blood Bank, The Government Medical College and S.S.G. Hospital, Vadodara",0265 2424848 ,YES,B-
Jamnabai Blood Bank,"Blood Bank, Jamnabai General Hospital, Vadodara",0265 2517400,NO,B-
"Medical Care Centre Trust, Shri Jalaram Blood Bank, Vadodara  ","Medical Care Centre Trust, Shri Jalaram Blood Bank, Kashiben Gordhandas Patel Children Hospital,Surajben Gordhanbhai Patel Women&#39;s Hospital, Jalaram Marg, 
Karelibaug, Vadodara",0265 2464130,YES,B-
Suraktam Blood Bank Vadodara,"Suraktam Blood Bank, G-7, Blue Chip Building, Near Stock Exchange, Sayajiganj, Vadodara","0265 2363660, 0265 2225903",YES,B-
Kailash Cancer Hospital & Research Centre Blood Bank.,"At: Muni seva ashram, po: Goraj, Tal : Waghodiya, Dist : vadodara, State : Gujarat.","0265 3961300, 0265 3961357",YES,B-
GMERS Medical College and General Hospital Blood Bank,"Blood Bank, GMERS General Hospital and Medical College, 
Gotri","0265 2398008, 0265 6541395",NO,B-
Indu Blood Bank Vadodara,"Indu Blood Bank, III Floor, Vinraj Plaza, Opposite to Government Press, Khoti, Vadodara","0265 2437676, 0265 2411477",YES,B-
Dhiraj General Blood Bank Vadodara,"Dhiraj General Blood Bank, Mu. Post:-Waghodiya, Pipariya, Vadodara","02668 225264, 02668 245265, 02668 245266",YES,B-
Bhailal Amin General Hospital Blood Bank,"Blood Bank, Bhailal Amin General Hospital Blood Bank, 
Alembic Road, Vadodara","0265 2307038, 0265 2307039, 0265 2286666",YES,B-
SBPP Cooperative Bank Foundation Blood Bank,"Blood Bank, SBPP Cooperative Bank Foundation Blood Bank of Manav Arogya Seva Kendra,  Jesal Cooperative and Housing Society, Near Pardi Hospital, National Highway-No.-8, Killa Pardi, Valsad",0260 2374422,YES,B-
